X,Y,Z
-0.0600162745,-0.0013194010,9.9216670990
-0.0693524778,-0.0003149325,9.9466781616
-0.0410123840,0.0135181099,9.9406156540
-0.0697507858,0.0090793436,9.9488601685
-0.0670774579,0.0041374667,9.9517641068
-0.0523851626,-0.0021204734,9.9358072281
-0.0451719612,0.0120164007,9.9609003067
-0.0680094659,0.0086582638,9.9364891052
-0.0604754612,0.0081733298,9.9374008179
-0.0475409478,0.0107250204,9.9536781311
-0.0738834143,0.0125655802,9.9632854462
-0.0486456081,0.0072718989,9.9582195282
-0.0260649584,0.0192360226,9.9430198669
-0.0578879192,0.0004831469,9.9390592575
-0.0526313782,-0.0038560540,9.9360837936
-0.0372502953,0.0118588898,9.9503402710
-0.0450774655,0.0139677022,9.9422903061
-0.0441854149,0.0185525417,9.9517707825
-0.0426360480,-0.0118154837,9.9550352097
-0.0487775579,-0.0047688843,9.9574184418
-0.0601860881,0.0130501790,9.9569635391
-0.0775346756,0.0152707119,9.9328298569
-0.0404041559,-0.0089320801,9.9254627228
-0.0409260243,0.0102765588,9.9721813202
-0.0551709458,0.0133106383,9.9494762421
-0.0777237043,0.0029456420,9.9675922394
-0.0652108043,-0.0044413107,9.9392251968
-0.0548251122,0.0100944666,9.9490842819
-0.0529319793,0.0115771852,9.9523553848
-0.0678978413,0.0095095122,9.9393024445
-0.0432984196,0.0153279658,9.9474658966
-0.0589605384,0.0147960857,9.9514369965
-0.0612111241,0.0154823661,9.9373998642
-0.0441251844,-0.0043701115,9.9626731873
-0.0607350618,0.0166636929,9.9509315491
-0.0507700145,-0.0029799214,9.9723968506
-0.0498945005,0.0138307530,9.9340896606
-0.0500825047,0.0065183286,9.9395618439
-0.0506747738,-0.0081903683,9.9538497925
-0.0663686842,-0.0080092922,9.9412708282
-0.0627352595,-0.0019727554,9.9497985840
-0.0624185428,0.0167690367,9.9577617645
-0.0387034118,0.0189170465,9.9645900726
-0.0504017398,0.0132017601,9.9521207809
-0.0558522195,0.0115370089,9.9272451401
-0.0428085104,0.0009330572,9.9647808075
-0.0541869476,-0.0005099927,9.9323396683
-0.0666449964,0.0123536978,9.9394369125
-0.0674127787,-0.0062410682,9.9389801025
-0.0512106419,0.0133566093,9.9568243027
-0.0549805537,-0.0064195604,9.9611740112
-0.0657118112,-0.0096539501,9.9759922028
-0.0850153416,0.0027571542,9.9625034332
-0.0597639158,-0.0125222970,9.9393424988
-0.0427824892,0.0017535388,9.9542789459
-0.0670727417,0.0314780213,9.9422483444
-0.0689002797,-0.0075694937,9.9371147156
-0.0650378019,0.0083080139,9.9445295334
-0.0551105663,0.0216227099,9.9445743561
-0.0603269488,0.0156393684,9.9515590668
-0.0650083944,0.0048177834,9.9495906830
-0.0606790558,0.0047575436,9.9690036774
-0.0549905077,0.0167270824,9.9360160828
-0.0497191995,-0.0005915111,9.9548664093
-0.0721775368,0.0134811308,9.9538545609
-0.0558205359,-0.0071164249,9.9632425308
-0.0449662432,0.0125798350,9.9657888412
-0.0632059127,0.0171604063,9.9180011749
-0.0547782518,0.0040023113,9.9365186691
-0.0700614601,-0.0201067757,9.9451637268
-0.0530824587,0.0028351503,9.9131546021
-0.0578624420,0.0116145648,9.9589710236
-0.0626019984,0.0018414013,9.9382915497
-0.0439214259,0.0124848913,9.9390678406
-0.0597757660,0.0000406438,9.9396638870
-0.0547600165,0.0088566532,9.9512195587
-0.0577998385,0.0372932106,9.9366245270
-0.0697487444,0.0111337528,9.9487829208
-0.0594247580,0.0047917729,9.9577693939
-0.0456481427,0.0046640714,9.9458026886
-0.0522908121,-0.0177012663,9.9443302155
-0.0211889930,0.0107639730,9.9578018188
-0.0664064363,0.0072341897,9.9498987198
-0.0701126158,0.0012894706,9.9769592285
-0.0716792643,-0.0135763530,9.9610719681
-0.0652678534,0.0144574810,9.9473094940
-0.0680615306,-0.0122709088,9.9304542542
-0.0534449145,-0.0042648036,9.9599599838
-0.0566022843,0.0108515257,9.9442710876
-0.0672424659,-0.0190185085,9.9596309662
-0.0344608352,0.0179789122,9.9375562668
-0.0509039275,0.0021735756,9.9448242188
-0.0667849481,0.0088259857,9.9385356903
-0.0613904819,-0.0055925865,9.9399814606
-0.0708082765,-0.0033771107,9.9384593964
-0.0418911316,0.0122901089,9.9507303238
-0.0530358255,-0.0084638763,9.9384136200
-0.0566056892,0.0034251395,9.9354801178
-0.0913874656,0.0115744043,9.9461460114
-0.0413062871,0.0052258405,9.9344654083
-0.0424238704,-0.0002268939,9.9410247803
-0.0556339622,0.0128712161,9.9160213470
-0.0515273958,0.0214232095,9.9382896423
-0.0432949141,-0.0173079614,9.9452018738
-0.0665507317,0.0058285594,9.9578475952
-0.0640807450,-0.0001276699,9.9553565979
-0.0694897920,-0.0121846003,9.9469070435
-0.0491151139,0.0127697848,9.9393806458
-0.0500229970,0.0317683965,9.9385433197
-0.0775142089,0.0129480893,9.9533052444
-0.0532189906,-0.0029785333,9.9380302429
-0.0679884404,0.0086774770,9.9642543793
-0.0462406836,0.0084353834,9.9541492462
-0.0602428392,-0.0031439757,9.9831237793
-0.0722325072,-0.0081164837,9.9503641129
-0.0430102125,-0.0150952265,9.9616260529
-0.0572042763,-0.0084372368,9.9463405609
-0.0637717769,-0.0052655195,9.9384727478
-0.0638071746,0.0230351835,9.9540405273
-0.0696931630,0.0207114443,9.9530258179
-0.0464760810,0.0154102864,9.9439239502
-0.0479525328,-0.0011327190,9.9379558563
-0.0508919209,0.0004142574,9.9492521286
-0.0564381704,0.0126441391,9.9457702637
-0.0591573715,0.0096952021,9.9495563507
-0.0356460065,0.0096914712,9.9441261292
-0.0414619148,0.0253567304,9.9424629211
-0.0435303710,0.0037720650,9.9355897903
-0.0485613197,0.0141252317,9.9497032166
-0.0566894785,0.0020032835,9.9471015930
-0.0628510565,0.0219978765,9.9410781860
-0.0535938963,0.0338996239,9.9659366608
-0.0681831390,0.0046696998,9.9446268082
-0.0549188927,0.0135640092,9.9494342804
-0.0444705151,-0.0016922418,9.9473838806
-0.0518677272,0.0086835893,9.9513397217
-0.0444286019,-0.0121847847,9.9470443726
-0.0469745137,0.0039092395,9.9572639465
-0.0574035123,-0.0077147102,9.9825420380
-0.0713319480,-0.0009441579,9.9777984619
-0.0414797254,-0.0031127161,9.9495449066
-0.0444834232,0.0094595356,9.9472923279
-0.0444589481,-0.0012707040,9.9488506317
-0.0718089193,0.0052113417,9.9538059235
-0.0629504994,-0.0004104830,9.9401435852
-0.0389197394,0.0117274839,9.9541378021
-0.0465934053,-0.0003450345,9.9687042236
